deg,mi,mean,norm2,median
-999.0,-999.0,0.11012602597475052,5.08883810043335,0.08083855360746384
-999.0,-999.0,0.10207170993089676,4.676235675811768,0.07584960013628006
-999.0,-999.0,0.1713458150625229,7.845304012298584,0.1258375346660614
-999.0,-999.0,0.2072485238313675,9.590948104858398,0.15223021805286407
-999.0,-999.0,0.13371723890304565,6.220107555389404,0.10046420246362686
-999.0,-999.0,0.15107782185077667,6.770592212677002,0.11434523016214371
-999.0,-999.0,0.1881236582994461,8.665038108825684,0.14276272058486938
-999.0,-999.0,0.25122496485710144,11.035140037536621,0.20363228023052216
-999.0,-999.0,0.5202049612998962,23.252952575683594,0.4188735783100128
-999.0,-999.0,0.12243834882974625,5.499729633331299,0.0943245217204094
-999.0,-999.0,0.11178632080554962,5.073882579803467,0.08207512646913528
-999.0,-999.0,0.22928273677825928,10.684062004089355,0.16849076747894287
-999.0,-999.0,0.15349656343460083,7.1487932205200195,0.11301020532846451
-999.0,-999.0,0.23563791811466217,10.337913513183594,0.18825984001159668
-999.0,-999.0,0.10522688180208206,4.755955219268799,0.0803295373916626
-999.0,-999.0,0.31762710213661194,14.984575271606445,0.23492470383644104
-999.0,-999.0,0.3609095513820648,17.214649200439453,0.2510048449039459
-999.0,-999.0,0.14241324365139008,6.4025492668151855,0.10690227150917053
-999.0,-999.0,0.15723630785942078,7.0338568687438965,0.1269041895866394
-999.0,-999.0,0.23094891011714935,10.803999900817871,0.16761639714241028
-999.0,-999.0,0.09088964015245438,4.218569755554199,0.06717895716428757
-999.0,-999.0,0.16234011948108673,7.6162028312683105,0.11952376365661621
-999.0,-999.0,0.19348903000354767,8.933707237243652,0.14284248650074005
-999.0,-999.0,0.1584128737449646,7.2988667488098145,0.114663265645504
-999.0,-999.0,0.11896402388811111,5.46088981628418,0.08647532761096954
-999.0,-999.0,0.14000806212425232,6.528310298919678,0.1004745364189148
-999.0,-999.0,0.198171004652977,9.060324668884277,0.14663827419281006
-999.0,-999.0,0.2287198305130005,10.0764741897583,0.1810753494501114
-999.0,-999.0,0.11973698437213898,5.327834129333496,0.09582710266113281
-999.0,-999.0,0.14858582615852356,6.668548107147217,0.11533073335886002
-999.0,-999.0,0.131138876080513,5.952402591705322,0.09877071529626846
-999.0,-999.0,0.12677393853664398,5.95750617980957,0.0919831395149231
-999.0,-999.0,0.16402503848075867,7.468726634979248,0.120359867811203
-999.0,-999.0,0.17092368006706238,7.98899507522583,0.12654076516628265
-999.0,-999.0,0.1375189572572708,6.323054313659668,0.10145193338394165
-999.0,-999.0,0.1880294233560562,8.87740421295166,0.13813646137714386
-999.0,-999.0,0.14412544667720795,6.590022087097168,0.10934001207351685
-999.0,-999.0,0.0795409083366394,3.8142921924591064,0.056274961680173874
